code,name,archive_tag,ticker,hsi_from_archive,hscei_from_list,label,correct_label
2510,TS LINES,N/A,2510.HK,N,N,N/A,
2513,KNOWLEDGE ATLAS,N/A,2513.HK,N,N,N/A,
2517,GUOQUAN,N/A,2517.HK,N,N,N/A,
2522,RIMAG GROUP,N/A,2522.HK,N,N,N/A,
2525,HESAI-W,N/A,2525.HK,N,N,N/A,
2526,DIAGENS-B,N/A,2526.HK,N,N,N/A,
2533,BLACK SESAME,N/A,2533.HK,N,N,N/A,
2546,ZHIHUI MINING,N/A,2546.HK,N,N,N/A,
2552,HUA MEDICINE-B,N/A,2552.HK,N,N,N/A,
2555,CHABAIDAO,N/A,2555.HK,N,N,N/A,
2556,MARKETINGFORCE,N/A,2556.HK,N,N,N/A,
2562,SYNAGISTICS,N/A,2562.HK,N,N,N/A,
2567,QINIU,N/A,2567.HK,N,N,N/A,
2570,REFIRE,N/A,2570.HK,N,N,N/A,
2575,XUANZHUBIO-B,N/A,2575.HK,N,N,N/A,
2577,INNOSCIENCE,N/A,2577.HK,N,N,N/A,
2579,CNGR,N/A,2579.HK,N,N,N/A,
2580,AUX ELECTRIC,N/A,2580.HK,N,N,N/A,
2582,GUOFUHEE,N/A,2582.HK,N,N,N/A,
2586,DMALL,N/A,2586.HK,N,N,N/A,
2587,HEALTHYWAY INC,N/A,2587.HK,N,N,N/A,
2588,BOC AVIATION,N/A,2588.HK,N,N,N/A,
2589,AUNTEA JENNY,N/A,2589.HK,N,N,N/A,
2590,GEEKPLUS-W,N/A,2590.HK,N,N,N/A,
2591,INNOGEN-B,N/A,2591.HK,N,N,N/A,
2595,GENFLEET-B,N/A,2595.HK,N,N,N/A,
2600,CHALCO,N/A,2600.HK,N,N,N/A,
2601,CPIC,N/A,2601.HK,N,N,N/A,
2602,ONEWO,N/A,2602.HK,N,N,N/A,
2603,JIHONG CO,N/A,2603.HK,N,N,N/A,
2607,SH PHARMA,N/A,2607.HK,N,N,N/A,
2609,BAYZED HEALTH,N/A,2609.HK,N,N,N/A,
2610,NANSHAN AL INTL,N/A,2610.HK,N,N,N/A,
2611,GTHT,N/A,2611.HK,N,N,N/A,
2616,CSTONE PHARMA-B,N/A,2616.HK,N,N,N/A,
2617,TRANSTHERA-B,N/A,2617.HK,N,N,N/A,
2618,JD LOGISTICS,N/A,2618.HK,N,N,N/A,
2628,CHINA LIFE,HSI,2628.HK,Y,Y,BOTH,
2631,SICC,N/A,2631.HK,N,N,N/A,
2635,NUOBIKAN,N/A,2635.HK,N,N,N/A,
2637,HAIXI PHARMA,N/A,2637.HK,N,N,N/A,
2638,HKELECTRIC-SS,N/A,2638.HK,N,N,N/A,
2643,CAOCAO INC,N/A,2643.HK,N,N,N/A,
2648,ANJOY FOOD,N/A,2648.HK,N,N,N/A,
2650,ZHIDA TECH,N/A,2650.HK,N,N,N/A,
2652,CF PHARMTECH,N/A,2652.HK,N,N,N/A,
2655,GUOXIA TECH,N/A,2655.HK,N,N,N/A,
2656,160 HEALTH,N/A,2656.HK,N,N,N/A,
2658,TIANYU SEMI,N/A,2658.HK,N,N,N/A,
2659,BAO PHARMA-B,N/A,2659.HK,N,N,N/A,
2661,QINGSONG HEALTH,N/A,2661.HK,N,N,N/A,
2665,SEYOND,N/A,2665.HK,N,N,N/A,
2666,UNI MEDICAL,N/A,2666.HK,N,N,N/A,
2669,CHINA OVS PPT,N/A,2669.HK,N,N,N/A,
2676,NOVOSENSE,N/A,2676.HK,N,N,N/A,
2685,QUANTGROUP,N/A,2685.HK,N,N,N/A,
2687,ABLE DIGITAL,N/A,2687.HK,N,N,N/A,
2688,ENN ENERGY,N/A,2688.HK,N,N,N/A,
2689,ND PAPER,N/A,2689.HK,N,N,N/A,
2692,ZHAOWEI,N/A,2692.HK,N,N,N/A,
2696,HENLIUS,N/A,2696.HK,N,N,N/A,
2698,SOFTCARE,N/A,2698.HK,N,N,N/A,
2701,NSING TECH,N/A,2701.HK,N,N,N/A,
2706,HAIZHI TECH GP,N/A,2706.HK,N,N,N/A,
2714,MUYUAN,N/A,2714.HK,N,N,N/A,
2715,ESTUN,N/A,2715.HK,N,N,N/A,
2718,MININGLAMP-W,N/A,2718.HK,N,N,N/A,
2722,CHONGQING M&E,N/A,2722.HK,N,N,N/A,
2726,EPIWORLD,N/A,2726.HK,N,N,N/A,
2727,SH ELECTRIC,N/A,2727.HK,N,N,N/A,
2729,GALAXIS TECH,N/A,2729.HK,N,N,N/A,
2768,GON TECHNOLOGY,N/A,2768.HK,N,N,N/A,
2788,CHUANGXIN IND,N/A,2788.HK,N,N,N/A,
2799,CITIC FAMC,N/A,2799.HK,N,N,N/A,
2858,YIXIN,N/A,2858.HK,N,N,N/A,
2865,DRINDA,N/A,2865.HK,N,N,N/A,
2866,COSCO SHIP DEV,N/A,2866.HK,N,N,N/A,
2869,GREENTOWN SER,N/A,2869.HK,N,N,N/A,
2883,CHINA OILFIELD,N/A,2883.HK,N,N,N/A,
2888,STANCHART,N/A,2888.HK,N,N,N/A,
2889,PATEO,N/A,2889.HK,N,N,N/A,
2899,ZIJIN MINING,HSI,2899.HK,Y,Y,BOTH,
2940,WELLCELL H-OLD,N/A,2940.HK,N,N,N/A,
3200,HANS CNC,N/A,3200.HK,N,N,N/A,
3268,MEIG,N/A,3268.HK,N,N,N/A,
3277,GPIXEL,N/A,3277.HK,N,N,N/A,
3288,HAITIAN FLAV,N/A,3288.HK,N,N,N/A,
3296,HUAQIN,N/A,3296.HK,N,N,N/A,
3306,JNBY,N/A,3306.HK,N,N,N/A,
3311,CHINA STATE CON,N/A,3311.HK,N,N,N/A,
3316,BINJIANG SER,N/A,3316.HK,N,N,N/A,
3317,XUNCE,N/A,3317.HK,N,N,N/A,
3319,A-LIVING,N/A,3319.HK,N,N,N/A,
3320,CHINARES PHARMA,N/A,3320.HK,N,N,N/A,
3323,CNBM,N/A,3323.HK,N,N,N/A,
3328,BANKCOMM,HSI,3328.HK,Y,Y,BOTH,
3330,LINGBAO GOLD,N/A,3330.HK,N,N,N/A,
3337,ANTON OILFIELD,N/A,3337.HK,N,N,N/A,
3339,LONKING,N/A,3339.HK,N,N,N/A,
3347,TIGERMED,N/A,3347.HK,N,N,N/A,
3355,FS.COM,N/A,3355.HK,N,N,N/A,
3360,FE HORIZON,N/A,3360.HK,N,N,N/A,
3393,WASION HOLDINGS,N/A,3393.HK,N,N,N/A,
3396,LEGENDHOLDING,N/A,3396.HK,N,N,N/A,
3606,FUYAO GLASS,N/A,3606.HK,N,N,N/A,
3613,TONGRENTANGCM,N/A,3613.HK,N,N,N/A,
3618,CQRC BANK,N/A,3618.HK,N,N,N/A,
3625,FOURSEMI,N/A,3625.HK,N,N,N/A,
3668,YANCOAL AUS,N/A,3668.HK,N,N,N/A,
3677,ZENERGY,N/A,3677.HK,N,N,N/A,
3678,HOLLY FUTURES,N/A,3678.HK,N,N,N/A,
3690,MEITUAN-W,HSI,3690.HK,Y,Y,BOTH,
3692,HANSOH PHARMA,N/A,3692.HK,N,N,N/A,
3696,INSILICO,N/A,3696.HK,N,N,N/A,
3698,HUISHANG BANK,N/A,3698.HK,N,N,N/A,
3738,VOBILE GROUP,N/A,3738.HK,N,N,N/A,
3750,CATL,HSI,3750.HK,Y,N,HSI,
3759,PHARMARON,N/A,3759.HK,N,N,N/A,
3788,HANKING GOLD,N/A,3788.HK,N,N,N/A,
3800,GCL TECH,N/A,3800.HK,N,N,N/A,
3808,SINOTRUK,N/A,3808.HK,N,N,N/A,
3816,KFM KINGDOM,N/A,3816.HK,N,N,N/A,
3833,XINXIN MINING,N/A,3833.HK,N,N,N/A,
3858,JIAXIN INTL RES,N/A,3858.HK,N,N,N/A,
3866,BQD,N/A,3866.HK,N,N,N/A,
3877,CSSC SHIPPING,N/A,3877.HK,N,N,N/A,
3881,CIDI,N/A,3881.HK,N,N,N/A,
3888,KINGSOFT,N/A,3888.HK,N,N,N/A,
3896,KINGSOFT CLOUD,N/A,3896.HK,N,N,N/A,
3898,TIMES ELECTRIC,N/A,3898.HK,N,N,N/A,
3899,CIMC ENRIC,N/A,3899.HK,N,N,N/A,
3900,GREENTOWN CHINA,N/A,3900.HK,N,N,N/A,
3908,CICC,N/A,3908.HK,N,N,N/A,
3918,NAGACORP,N/A,3918.HK,N,N,N/A,
3931,CALB,N/A,3931.HK,N,N,N/A,
3933,UNITED LAB,N/A,3933.HK,N,N,N/A,
3939,WANGUO GOLD GP,N/A,3939.HK,N,N,N/A,
3958,DFZQ,N/A,3958.HK,N,N,N/A,
3968,CM BANK,HSI,3968.HK,Y,Y,BOTH,
3986,GIGADEVICE,N/A,3986.HK,N,N,N/A,
3988,BANK OF CHINA,HSI,3988.HK,Y,Y,BOTH,
3993,CMOC,N/A,3993.HK,N,N,N/A,
3996,CH ENERGY ENG,N/A,3996.HK,N,N,N/A,
3998,BOSIDENG,N/A,3998.HK,N,N,N/A,
6030,CITIC SEC,N/A,6030.HK,N,N,N/A,
6031,SANY HEAVY IND,N/A,6031.HK,N,N,N/A,
6049,POLY PPT SER,N/A,6049.HK,N,N,N/A,
6051,YOUZAN,N/A,6051.HK,N,N,N/A,
6055,CTIHK,N/A,6055.HK,N,N,N/A,
6060,ZA ONLINE,N/A,6060.HK,N,N,N/A,
6066,CSC,N/A,6066.HK,N,N,N/A,
6069,SY HOLDINGS,N/A,6069.HK,N,N,N/A,
6078,HYGEIA HEALTH,N/A,6078.HK,N,N,N/A,
6082,BIREN TECH,N/A,6082.HK,N,N,N/A,
6088,FIT HON TENG,N/A,6088.HK,N,N,N/A,
6090,BUTONG GROUP,N/A,6090.HK,N,N,N/A,
6098,CG SERVICES,N/A,6098.HK,N,N,N/A,
6099,CMSC,N/A,6099.HK,N,N,N/A,
6127,JOINN,N/A,6127.HK,N,N,N/A,
6160,BEONE MEDICINES,HSI,6160.HK,Y,Y,BOTH,
6166,CIG,N/A,6166.HK,N,N,N/A,
6168,ZHOU LIU FU,N/A,6168.HK,N,N,N/A,
6178,EB SECURITIES,N/A,6178.HK,N,N,N/A,
6181,LAOPU GOLD,N/A,6181.HK,N,N,N/A,
6185,CANSINOBIO,N/A,6185.HK,N,N,N/A,
6186,CHINA FEIHE,N/A,6186.HK,N,N,N/A,
6196,BANKOFZHENGZHOU,N/A,6196.HK,N,N,N/A,
6198,QINGDAO PORT,N/A,6198.HK,N,N,N/A,
6600,ONEROBOTICS,N/A,6600.HK,N,N,N/A,
6603,IFBH,N/A,6603.HK,N,N,N/A,
6613,LENS,N/A,6613.HK,N,N,N/A,
6618,JD HEALTH,HSI,6618.HK,Y,Y,BOTH,
6636,EXTREME VISION,N/A,6636.HK,N,N,N/A,
6651,51WORLD,N/A,6651.HK,N,N,N/A,
6655,HX BLDG MAT,N/A,6655.HK,N,N,N/A,
6656,SIGENERGY,N/A,6656.HK,N,N,N/A,
6660,AIM VACCINE,N/A,6660.HK,N,N,N/A,
6666,EVERG SERVICES,N/A,6666.HK,N,N,N/A,
6680,JLMAG,N/A,6680.HK,N,N,N/A,
6681,BRAINAURORA-B,N/A,6681.HK,N,N,N/A,
6682,PHANCY,N/A,6682.HK,N,N,N/A,
6683,STARPLUS LEGEND,N/A,6683.HK,N,N,N/A,
6687,JST GROUP,N/A,6687.HK,N,N,N/A,
6690,HAIER SMARTHOME,HSI,6690.HK,Y,Y,BOTH,
6693,CHIFENG GOLD,N/A,6693.HK,N,N,N/A,
6699,ANGELALIGN,N/A,6699.HK,N,N,N/A,
6806,SWHY,N/A,6806.HK,N,N,N/A,
6809,MONTAGE TECH,N/A,6809.HK,N,N,N/A,
6810,SUNMI TECH-W,N/A,6810.HK,N,N,N/A,
6818,CEB BANK,N/A,6818.HK,N,N,N/A,
6821,ASYMCHEM,N/A,6821.HK,N,N,N/A,
6823,HKT-SS,N/A,6823.HK,N,N,N/A,
6831,GREEN TEA GROUP,N/A,6831.HK,N,N,N/A,
6855,ASCENTAGE-B,N/A,6855.HK,N,N,N/A,
6862,HAIDILAO,N/A,6862.HK,N,N,N/A,
6865,FLAT GLASS,N/A,6865.HK,N,N,N/A,
6869,YOFC,N/A,6869.HK,N,N,N/A,
6881,CGS,N/A,6881.HK,N,N,N/A,
6886,HTSC,N/A,6886.HK,N,N,N/A,
6887,SUNSHINE PHARMA,N/A,6887.HK,N,N,N/A,
6936,SF HOLDING,N/A,6936.HK,N,N,N/A,
6938,RIBOLIFE-B,N/A,6938.HK,N,N,N/A,
6960,SHUANGDENG,N/A,6960.HK,N,N,N/A,
6963,SUNSHINE INS,N/A,6963.HK,N,N,N/A,
6969,SMOORE INTL,N/A,6969.HK,N,N,N/A,
6979,ZJLD,N/A,6979.HK,N,N,N/A,
6990,SKB BIO,N/A,6990.HK,N,N,N/A,
6996,ANTENGENE-B,N/A,6996.HK,N,N,N/A,
7489,VOYAH AUTO,N/A,7489.HK,N,N,N/A,
9606,DUALITYBIO-B,N/A,9606.HK,N,N,N/A,
9611,LONGCHEER,N/A,9611.HK,N,N,N/A,
9618,JD-SW,HSI,9618.HK,Y,Y,BOTH,
9626,BILIBILI-W,N/A,9626.HK,N,N,N/A,
9633,NONGFU SPRING,HSI,9633.HK,Y,Y,BOTH,
9636,JF SMARTINVEST,N/A,9636.HK,N,N,N/A,
9660,HORIZONROBOT-W,HSI,9660.HK,Y,N,HSI,
9668,CBHB,N/A,9668.HK,N,N,N/A,
9678,UNISOUND,N/A,9678.HK,N,N,N/A,
9688,ZAI LAB,N/A,9688.HK,N,N,N/A,
9696,TIANQI LITHIUM,N/A,9696.HK,N,N,N/A,
9698,GDS-SW,N/A,9698.HK,N,N,N/A,
9699,SF INTRA-CITY,N/A,9699.HK,N,N,N/A,
9858,YOURAN DAIRY,N/A,9858.HK,N,N,N/A,
9863,LEAPMOTOR,N/A,9863.HK,N,N,N/A,
9866,NIO-SW,N/A,9866.HK,N,N,N/A,
9868,XPENG-W,HSI,9868.HK,Y,Y,BOTH,
9880,UBTECH ROBOTICS,N/A,9880.HK,N,N,N/A,
9887,LEADS BIOLABS-B,N/A,9887.HK,N,N,N/A,
9888,BIDU-SW,HSI,9888.HK,Y,Y,BOTH,
9890,TANWAN,N/A,9890.HK,N,N,N/A,
9896,MNSO,N/A,9896.HK,N,N,N/A,
9899,NETEASE MUSIC,N/A,9899.HK,N,N,N/A,
9901,NEW ORIENTAL-S,HSI,9901.HK,Y,N,HSI,
9903,ILUVATAR COREX,N/A,9903.HK,N,N,N/A,
9911,NEWBORNTOWN,N/A,9911.HK,N,N,N/A,
9926,AKESO,N/A,9926.HK,N,N,N/A,
9927,SERES,N/A,9927.HK,N,N,N/A,
9936,XIMEI RES-500,N/A,9936.HK,N,N,N/A,
9959,LINKLOGIS-W,N/A,9959.HK,N,N,N/A,
9961,TRIP.COM-S,HSI,9961.HK,Y,Y,BOTH,
9963,TRANSTECH,N/A,9963.HK,N,N,N/A,
9966,ALPHAMAB-B,N/A,9966.HK,N,N,N/A,
9969,INNOCARE,N/A,9969.HK,N,N,N/A,
9973,CHERY AUTO,N/A,9973.HK,N,N,N/A,
9980,EASTROC,N/A,9980.HK,N,N,N/A,
9981,WOER,N/A,9981.HK,N,N,N/A,
9982,CENTRALCHINA MT,N/A,9982.HK,N,N,N/A,
9985,WL DELICIOUS,N/A,9985.HK,N,N,N/A,
9987,YUM CHINA,N/A,9987.HK,N,Y,HSCEI,
9988,BABA-W,HSI,9988.HK,Y,Y,BOTH,
9990,ARCHOSAUR GAMES,N/A,9990.HK,N,N,N/A,
9992,POP MART,HSI,9992.HK,Y,Y,BOTH,
9993,RADIANCE HLDGS,N/A,9993.HK,N,N,N/A,
9995,REMEGEN,N/A,9995.HK,N,N,N/A,
9999,NTES-S,HSI,9999.HK,Y,Y,BOTH,
