code,name,archive_tag,ticker,hsi_from_archive,hscei_from_list,label,correct_label
595,AV CONCEPT HOLD,N/A,0595.HK,N,N,N/A,
596,INSPUR DIGI ENT,N/A,0596.HK,N,N,N/A,
598,SINOTRANS,N/A,0598.HK,N,N,N/A,
600,AXERA,N/A,0600.HK,N,N,N/A,
622,OSHIDORI,N/A,0622.HK,N,N,N/A,
628,TONGTONG AI SOC,N/A,0628.HK,N,N,N/A,
631,SANY INT'L,N/A,0631.HK,N,N,N/A,
638,FIBOCOM,N/A,0638.HK,N,N,N/A,
639,SHOUGANG RES,N/A,0639.HK,N,N,N/A,
650,PRODUCTIVE TECH,N/A,0650.HK,N,N,N/A,
656,FOSUN INTL,N/A,0656.HK,N,N,N/A,
659,CTF SERVICES,N/A,0659.HK,N,N,N/A,
666,REPT BATTERO,N/A,0666.HK,N,N,N/A,
667,CHINA EAST EDU,N/A,0667.HK,N,N,N/A,
669,TECHTRONIC IND,HSI,0669.HK,Y,N,HSI,
670,CHINA EAST AIR,N/A,0670.HK,N,N,N/A,
679,ASIA TELE-NET,N/A,0679.HK,N,N,N/A,
683,KERRY PPT,N/A,0683.HK,N,N,N/A,
688,CHINA OVERSEAS,HSI,0688.HK,Y,Y,BOTH,
695,DONGWU CEMENT,N/A,0695.HK,N,N,N/A,
696,TRAVELSKY TECH,N/A,0696.HK,N,N,N/A,
697,SHOUCHENG,N/A,0697.HK,N,N,N/A,
699,JOYSON ELEC,N/A,0699.HK,N,N,N/A,
700,TENCENT,HSI,0700.HK,Y,Y,BOTH,
719,SHANDONG XINHUA,N/A,0719.HK,N,N,N/A,
728,CHINA TELECOM,HSI,0728.HK,Y,N,HSI,
731,C&D NEWIN,N/A,0731.HK,N,N,N/A,
753,AIR CHINA,N/A,0753.HK,N,N,N/A,
762,CHINA UNICOM,HSI,0762.HK,Y,Y,BOTH,
763,ZTE,N/A,0763.HK,N,N,N/A,
772,CHINA LIT,N/A,0772.HK,N,N,N/A,
780,TONGCHENGTRAVEL,N/A,0780.HK,N,N,N/A,
788,CHINA TOWER,N/A,0788.HK,N,N,N/A,
800,WERIDE-W,N/A,0800.HK,N,N,N/A,
811,XINHUA WINSHARE,N/A,0811.HK,N,N,N/A,
813,SHIMAO GROUP,N/A,0813.HK,N,N,N/A,
817,CHINA JINMAO,N/A,0817.HK,N,N,N/A,
819,TIANNENG POWER,N/A,0819.HK,N,N,N/A,
826,TIANGONG INT'L,N/A,0826.HK,N,N,N/A,
836,CHINA RES POWER,HSI,0836.HK,Y,N,HSI,
839,CHINA EDU GROUP,N/A,0839.HK,N,N,N/A,
853,MICROPORT,N/A,0853.HK,N,N,N/A,
856,VSTECS,N/A,0856.HK,N,N,N/A,
857,PETROCHINA,HSI,0857.HK,Y,Y,BOTH,
861,DC HOLDINGS,N/A,0861.HK,N,N,N/A,
863,OSL GROUP,N/A,0863.HK,N,N,N/A,
866,CHINA QINFA,N/A,0866.HK,N,N,N/A,
867,CMS,N/A,0867.HK,N,N,N/A,
868,XINYI GLASS,HSI,0868.HK,Y,N,HSI,
874,BAIYUNSHAN PH,N/A,0874.HK,N,N,N/A,
880,SJM HOLDINGS,N/A,0880.HK,N,N,N/A,
881,ZHONGSHENG HLDG,N/A,0881.HK,N,N,N/A,
883,CNOOC,HSI,0883.HK,Y,Y,BOTH,
884,CIFI HOLD GP,N/A,0884.HK,N,N,N/A,
902,HUANENG POWER,N/A,0902.HK,N,N,N/A,
909,MING YUAN CLOUD,N/A,0909.HK,N,N,N/A,
914,CONCH CEMENT,N/A,0914.HK,N,N,N/A,
916,CHINA LONGYUAN,N/A,0916.HK,N,N,N/A,
917,QUNABOX GROUP,N/A,0917.HK,N,N,N/A,
918,MAJESTIC DRAGON,N/A,0918.HK,N,N,N/A,
921,HISENSE HA,N/A,0921.HK,N,N,N/A,
939,CCB,HSI,0939.HK,Y,Y,BOTH,
941,CHINA MOBILE,HSI,0941.HK,Y,Y,BOTH,
951,CHAOWEI POWER,N/A,0951.HK,N,N,N/A,
956,CHINA SUNTIEN,N/A,0956.HK,N,N,N/A,
960,LONGFOR GROUP,HSI,0960.HK,Y,N,HSI,
966,CHINA TAIPING,N/A,0966.HK,N,N,N/A,
968,XINYI SOLAR,N/A,0968.HK,N,N,N/A,
975,MONGOL MINING,N/A,0975.HK,N,N,N/A,
981,SMIC,HSI,0981.HK,Y,Y,BOTH,
990,DEEP SOURCE,N/A,0990.HK,N,N,N/A,
991,DATANG POWER,N/A,0991.HK,N,N,N/A,
992,LENOVO GROUP,N/A,0992.HK,N,Y,HSCEI,
995,ANHUIEXPRESSWAY,N/A,0995.HK,N,N,N/A,
998,CITIC BANK,N/A,0998.HK,N,N,N/A,
999,XIAOCAIYUAN,N/A,0999.HK,N,N,N/A,
1021,HUAYAN ROBOTICS,N/A,1021.HK,N,N,N/A,
1024,KUAISHOU-W,HSI,1024.HK,Y,Y,BOTH,
1030,SEAZEN,N/A,1030.HK,N,N,N/A,
1033,SINOPEC SSC,N/A,1033.HK,N,N,N/A,
1038,CKI HOLDINGS,N/A,1038.HK,N,N,N/A,
1044,HENGAN INT'L,N/A,1044.HK,N,N,N/A,
1045,APT SATELLITE,N/A,1045.HK,N,N,N/A,
1050,KARRIE INT'L,N/A,1050.HK,N,N,N/A,
1055,CHINA SOUTH AIR,N/A,1055.HK,N,N,N/A,
1057,ZHEJIANG SHIBAO,N/A,1057.HK,N,N,N/A,
1060,DAMAI ENT,N/A,1060.HK,N,N,N/A,
