1896,MAOYAN ENT,N/A
1898,CHINA COAL,N/A
1907,CHINA RISUN GP,N/A
1908,C&D INTL GROUP,N/A
1910,SAMSONITE,N/A
1913,PRADA,N/A
1918,SUNAC,N/A
1919,COSCO SHIP HOLD,N/A
1921,DALIPAL HLDG,N/A
1928,SANDS CHINA LTD,HSI
1929,CHOW TAI FOOK,N/A
1951,JXR,N/A
1952,EVEREST MED,N/A
1953,RIMBACO,N/A
1963,BCQ,N/A
1972,SWIREPROPERTIES,HSI
1988,MINSHENG BANK,N/A
1989,DELTON,N/A
1997,WHARF REIC,N/A
1999,MAN WAH HLDGS,N/A
2007,COUNTRY GARDEN,N/A
2013,WEIMOB INC,N/A
2015,LI AUTO-W,HSI
2016,CZBANK,N/A
2018,AAC TECH,N/A
2020,ANTA SPORTS,HSI
2026,PONY-W,N/A
2038,FIH,N/A
2039,CIMC,N/A
2050,SANHUA,N/A
2057,ZTO EXPRESS-W,HSI
2096,SIMCERE PHARMA,N/A
2097,MIXUE GROUP,N/A
2099,CHINAGOLDINTL,N/A
2105,LAEKNA-B,N/A
2128,CHINA LESSO,N/A
2142,HBM HOLDINGS-B,N/A
2145,CHICMAX,N/A
2155,MORIMATSU INTL,N/A
2157,LEPU BIO,N/A
2158,YIDU TECH,N/A
2162,KEYMED BIO-B,N/A
2166,SMART-CORE,N/A
2171,CARSGEN-B,N/A
2172,MICROPORT NEURO,N/A
2186,LUYE PHARMA,N/A
2190,ZYLOXTB,N/A
2192,MEDLIVE,N/A
2196,FOSUN PHARMA,N/A
2197,CLOVER BIO-B,N/A
2198,CHINA SANJIANG,N/A
2202,CHINA VANKE,HSI
2208,GOLDWIND,N/A
2225,JINHAI MED TECH,N/A
2228,XTALPI,N/A
2232,CRYSTAL INTL,N/A
2233,WESTCHINACEMENT,N/A
2238,GAC GROUP,N/A
2245,LYGEND RESOURCE,N/A
2252,MEDBOT-B,N/A
2255,HAICHANG HLDG,N/A
2256,ABBISKO-B,N/A
2259,ZIJIN GOLD INTL,HSI
2268,WUXI XDC,N/A
2269,WUXI BIO,HSI
2273,GUSHENGTANG,N/A
2276,CONANT OPTICAL,N/A
2282,MGM CHINA,N/A
2291,SCIENTECH,N/A
2302,CNNC INT'L,N/A
2313,SHENZHOU INTL,HSI
2315,BIOCYTOGEN-B,N/A
2318,PING AN,HSI
2319,MENGNIU DAIRY,HSI
2328,PICC P&C,HSI
2331,LI NING,N/A
2333,GWMOTOR,N/A
2338,WEICHAI POWER,N/A
2339,BWI INT'L,N/A
